project_code,project_name,sector,month_index,planned_progress_pct,actual_progress_pct,expenditure_ratio_pct,schedule_delay_days,cost_escalation_pct,milestone_slips,open_issues,prototype_risk_probability,high_risk
707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,Logistics Infrastructure,1,12.489481840787377,4.821269839265968,1.0,33,0.0,1,0,0.10247264427246257,0
707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,Logistics Infrastructure,2,25.247628084097347,17.333349425973516,23.4402701000958,16,4.465058723014752,2,0,0.4099102326180607,0
707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,Logistics Infrastructure,3,29.459656426550104,30.209266459194154,35.064179407032356,0,1.613801469846322,1,1,0.14563908590326688,0
707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,Logistics Infrastructure,4,37.901897168532514,17.71291752143507,22.372857987919513,92,5.9498841347291185,2,1,0.5841959552087698,1
707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,Logistics Infrastructure,5,45.56121252298297,37.9577737428887,45.45698319766353,18,4.821049169326319,2,1,0.46419298443108753,0
707410,Integrated Multi Modal Logistics Hub at Nangal Chaudhary in Haryana - Other Trunk Infrastructure Development Phase 1,Logistics Infrastructure,6,51.28022080583291,44.25584749892256,40.69968181506116,2,0.0,2,2,0.48445653863788496,0
707414,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,Logistics Infrastructure,1,16.173172832387955,33.91649412400993,42.607463037962674,13,7.160074608273785,1,0,0.0643266029837999,0
707414,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,Logistics Infrastructure,2,22.842265412384975,27.16149768339924,32.042997398961205,9,3.1121020517707767,0,2,0.14906228570924826,0
707414,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,Logistics Infrastructure,3,26.3402981494528,24.826814358515826,23.30193086470312,0,0.6222315207597574,1,0,0.09537544196241965,0
707414,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,Logistics Infrastructure,4,35.71057774533124,34.28929050814148,37.498419711388536,4,0.0,1,0,0.036040199089778714,0
707414,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,Logistics Infrastructure,5,38.27659728580907,37.27612259237787,44.34016995245249,0,6.097772753442303,2,1,0.111141423590424,0
707414,Multi Modal Transport Hub [MMTH] Project at Boraki in Greater Noida - Infrastructure Development - Phase 1,Logistics Infrastructure,6,47.25123854091183,42.285958650874996,42.99412988893451,9,0.0,2,3,0.5639498105985953,1
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,Real Estate,1,11.450796267188355,10.555382435000583,13.095477213524614,10,5.786960801846902,2,1,0.12980278374108553,0
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,Real Estate,2,20.351859335586646,33.460101546012496,38.455976206200354,0,3.6882726054539083,0,0,0.1915287164173765,0
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,Real Estate,3,37.26287614307594,34.251258126011045,34.3080989064982,0,0.0,1,1,0.22938109310634652,0
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,Real Estate,4,35.99243444738998,38.13821486315725,39.646163282991914,0,6.133161371648713,1,1,0.09308386581004437,0
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,Real Estate,5,38.966457445802874,48.370575188313296,60.9320318906748,15,4.200019652037748,0,1,0.07226184595379495,0
601812,Development of Zaheerabad Node under Hyderabad Nagpur Industrial Corridor,Real Estate,6,49.39900116664765,56.01015730793124,53.420552266884016,0,0.0,0,4,0.10565765278877111,0
603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,Real Estate,1,17.497011668512194,14.870985414858884,18.839446804680538,0,7.135437561095658,0,1,0.08267741801940726,0
603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,Real Estate,2,25.562478415059132,36.75867124595173,39.82430975046605,0,1.1957724819093374,1,0,0.1759349841297325,0
603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,Real Estate,3,28.44990025903776,23.88723281204725,22.686322156978676,0,0.0,1,3,0.11530703769611948,0
603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,Real Estate,4,34.19512625524664,26.403087520006416,34.9820218571773,19,4.046837434802489,2,2,0.35204173080898704,0
603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,Real Estate,5,42.862830528749235,21.438345883445166,22.911577806574215,59,0.0,3,0,0.7902677109538316,1
603210,Development of Jodhpur Pali Marwar Industrial Area JPMIA in Rajasthan,Real Estate,6,46.990894025101696,54.11099367821308,53.95801928205772,0,0.0,0,2,0.2717413065720851,0
617727,Orvakal Industrial Area,Real Estate,1,9.13479810208802,1.0,1.0,57,5.186092933216777,2,1,0.6280250568923927,1
617727,Orvakal Industrial Area,Real Estate,2,20.729453060851792,27.97712544574478,23.67612093259109,0,0.0,1,0,0.09740136805368724,0
617727,Orvakal Industrial Area,Real Estate,3,29.46330229091142,31.92670608571732,33.435507576708574,0,1.7793236050651133,1,0,0.4804617973655953,0
617727,Orvakal Industrial Area,Real Estate,4,39.70465976424373,29.40673338578864,30.066830200001803,63,1.1513009232586546,1,1,0.5338123815185717,0
617727,Orvakal Industrial Area,Real Estate,5,41.78841585209503,55.64455975564742,70.82216645018084,0,8.037218877795501,1,1,0.2698195436134126,0
617727,Orvakal Industrial Area,Real Estate,6,39.72517951465805,45.7190996390673,55.04529026480809,0,6.1133912952997616,1,0,0.03167399392107789,0
617729,Kopparthy Industrial Area,Real Estate,1,15.742080358027696,13.702515429392758,15.724507402834867,19,6.309030401622993,2,1,0.6146910295578579,1
617729,Kopparthy Industrial Area,Real Estate,2,25.044635503611275,15.00125787134318,17.263673530538842,58,0.0,1,2,0.584801533415302,1
617729,Kopparthy Industrial Area,Real Estate,3,32.98026299359016,14.002963533674382,9.20498649908668,55,0.0,3,4,0.48774179723195515,0
617729,Kopparthy Industrial Area,Real Estate,4,35.71423519520663,30.31466591015087,36.51193306883202,27,3.624597656972367,0,3,0.2901173543275225,0
617729,Kopparthy Industrial Area,Real Estate,5,39.98287282903455,24.107847355458404,30.95037302995393,78,6.968803788939654,2,3,0.7108942558145567,1
617729,Kopparthy Industrial Area,Real Estate,6,51.2700884300393,45.22805960976328,57.11156636599352,51,4.305164029488941,1,3,0.6549680247909538,1
701657,Tumakuru Node - Phase 1 - Roads and Services Development,Real Estate,1,19.23904816580324,11.68161770618682,14.471575892347497,59,0.16137870951789535,0,0,0.3974343967965465,0
701657,Tumakuru Node - Phase 1 - Roads and Services Development,Real Estate,2,18.90680934195628,27.601252321211952,28.55121195223549,9,1.3513003350486077,1,0,0.013935115161416867,0
701657,Tumakuru Node - Phase 1 - Roads and Services Development,Real Estate,3,30.8766487213042,32.55225107634964,43.311200447995354,14,6.605056276750347,1,0,0.08914809737182926,0
701657,Tumakuru Node - Phase 1 - Roads and Services Development,Real Estate,4,37.17475372363867,32.833386906026476,31.494167520183368,13,0.0,2,0,0.04275797799796794,0
701657,Tumakuru Node - Phase 1 - Roads and Services Development,Real Estate,5,40.82417098090877,51.59345761019458,64.45922335777138,0,7.669541406992798,2,2,0.11181675324316567,0
